"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"12.5% (25)";"65.5% (131)";"21.5% (43)";"0.5% (1)";"0% (0)";"0% (0)"
2;"-";"0% (0)";"14% (28)";"73.5% (147)";"12.5% (25)";"0% (0)";"0% (0)";"0% (0)"
3;"-";"16.5% (33)";"80.5% (161)";"2.5% (5)";"0.5% (1)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"52% (104)";"47.5% (95)";"0.5% (1)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"82.5% (165)";"17.5% (35)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"57% (114)";"42.5% (85)";"0% (0)";"0.5% (1)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"6.5% (13)";"91.5% (183)";"2% (4)";"0% (0)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"40.5% (81)";"58% (116)";"1.5% (3)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"1.5% (3)";"83% (166)";"15.5% (31)";"0% (0)";"0% (0)";"0% (0)"
