"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,633262581568859;-0,0332625815688591;0,155944832611377;0,0253035961967244;0,79;0,785
1;"beta2";0,8;0,818105212773986;0,0181052127739856;0,083665198018806;0,00729266476231969;0,735;0,74
1;"gamma1";-0,8;-1,08599531384094;-0,28599531384094;0,260825132346264;0,149482920454107;0,48;0,685
1;"gamma2";0,5;0,861524667608292;0,361524667608292;0,163345027626806;0,157248275349436;0,065;0,64
2;"beta1";-0,6;-0,665432473699946;-0,0654324736999462;0,158112486362943;0,0291559691666467;0,67;0,705
2;"beta2";0,8;0,817567705583345;0,0175677055833448;0,0742088031205954;0,00578803600775141;0,74;0,765
2;"gamma1";-0,8;-1,07875313588039;-0,278753135880385;0,258593804927615;0,144239712930355;0,495;0,7
2;"gamma2";0,5;0,851422270684004;0,351422270684005;0,157631943169711;0,148221202692623;0,065;0,7
3;"beta1";-0,6;-0,6516341836521;-0,0516341836521003;0,111433976766124;0,0150215324434422;0,905;0,915
3;"beta2";0,8;0,832824202076167;0,0328242020761669;0,0523494858729283;0,00380419456974115;0,905;0,955
3;"gamma1";-0,8;-1,05769097435249;-0,257690974352494;0,211400893979777;0,110871524548309;0,515;0,84
3;"gamma2";0,5;0,808176859574239;0,308176859574239;0,112157275095172;0,10748933486203;0,05;0,84
4;"beta1";-0,6;-0,606476112107991;-0,00647611210799073;0,101364502507176;0,0102653285847199;0,905;0,895
4;"beta2";0,8;0,800938147066308;0,000938147066307783;0,057904302867351;0,00333702386901917;0,89;0,885
4;"gamma1";-0,8;-0,953984566398907;-0,153984566398907;0,193891161090364;0,0611170601262842;0,74;0,855
4;"gamma2";0,5;0,738735866246361;0,238735866246361;0,108743138224685;0,0687607585927988;0,175;0,82
5;"beta1";-0,6;-0,609639145811897;-0,00963914581189734;0,11003391398058;0,0121398380467392;0,895;0,905
5;"beta2";0,8;0,798686938949904;-0,00131306105009654;0,0593751128157093;0,0035095011310901;0,91;0,91
5;"gamma1";-0,8;-0,97154207657337;-0,17154207657337;0,180140410352209;0,061714998639757;0,77;0,895
5;"gamma2";0,5;0,734585182196472;0,234585182196471;0,121191725156763;0,0696442047813917;0,21;0,79
6;"beta1";-0,6;-0,589360955594583;0,0106390444054167;0,132102750049565;0,0174770701536651;0,8;0,795
6;"beta2";0,8;0,779527314806764;-0,0204726851932364;0,0656030014644505;0,00470136587116034;0,8;0,83
6;"gamma1";-0,8;-0,947055785187674;-0,147055785187674;0,228414832080386;0,0735378727939027;0,72;0,79
6;"gamma2";0,5;0,746352056774812;0,246352056774812;0,140667541642659;0,0803777563626107;0,245;0,695
7;"beta1";-0,6;-0,609642461158314;-0,00964246115831382;0,0721281935667642;0,00526944098285817;0,94;0,935
7;"beta2";0,8;0,807722222414083;0,00772222241408262;0,0460874851182749;0,00217306872211713;0,89;0,905
7;"gamma1";-0,8;-0,987873309326972;-0,187873309326972;0,207911060280931;0,0783072542996731;0,675;0,81
7;"gamma2";0,5;0,839034154260561;0,339034154260561;0,14093813253408;0,134708397171357;0,09;0,675
8;"beta1";-0,6;-0,609514172468813;-0,00951417246881273;0,0649257307658498;0,00428479324066853;0,94;0,955
8;"beta2";0,8;0,819985871549028;0,0199858715490278;0,0406686455711893;0,00204510410050628;0,875;0,94
8;"gamma1";-0,8;-0,706933586636804;0,0930664133631958;0,16314459971207;0,0351444369094246;0,81;0,915
8;"gamma2";0,5;0,651882195577899;0,151882195577898;0,118358385330582;0,0370068651747353;0,515;0,75
9;"beta1";-0,6;-0,643604589713018;-0,0436045897130176;0,112297175855821;0,0144489626707079;0,765;0,815
9;"beta2";0,8;0,822421082982501;0,0224210829825013;0,0688961027612445;0,00522564457291774;0,74;0,745
9;"gamma1";-0,8;-1,15882707271289;-0,358827072712893;0,225072764021669;0,179161328470536;0,35;0,775
9;"gamma2";0,5;0,932158743391471;0,432158743391471;0,135339558099809;0,204986391496414;0,005;0,725
