"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,642649027701832;-0,0426490277018321;0,159724768324723;0,0272033811722162;0,78;0,775
1;"beta2";0,8;0,823024302305764;0,0230243023057644;0,0824230171329273;0,00728970448119558;0,75;0,76
1;"gamma1";-0,8;-1,1435295677623;-0,343529567762297;0,318703824618652;0,219076831114374;0,38;0,635
1;"gamma2";0,5;0,903774922628522;0,403774922628522;0,164428595991353;0,189935767507458;0,035;0,66
2;"beta1";-0,6;-0,666854509067098;-0,0668545090670982;0,155232949527165;0,0284463076584116;0,69;0,685
2;"beta2";0,8;0,819351448779408;0,0193514487794083;0,074937262961682;0,00596199398314939;0,75;0,79
2;"gamma1";-0,8;-1,10558631347246;-0,305586313472462;0,265435880496476;0,163486920603355;0,435;0,665
2;"gamma2";0,5;0,882478803700915;0,382478803700915;0,168856248696387;0,17465990584068;0,03;0,585
3;"beta1";-0,6;-0,665268094650925;-0,0652680946509249;0,113032116870728;0,0169723023264186;0,895;0,92
3;"beta2";0,8;0,839822455762563;0,0398224557625632;0,054825583480646;0,00457664336393462;0,885;0,93
3;"gamma1";-0,8;-1,24467579266049;-0,444675792660489;0,299145399136423;0,286777090553602;0,245;0,73
3;"gamma2";0,5;0,961240498685727;0,461240498685727;0,17672686236947;0,243819019591401;0,015;0,63
4;"beta1";-0,6;-0,614852783619134;-0,0148527836191335;0,106035787142324;0,0114079753953545;0,9;0,895
4;"beta2";0,8;0,808558447349049;0,00855844734904899;0,0611307281988715;0,00379152812150013;0,84;0,855
4;"gamma1";-0,8;-1,01857839051216;-0,218578390512158;0,22677861261154;0,0989479092412104;0,62;0,81
4;"gamma2";0,5;0,799632858822863;0,299632858822863;0,148803074588297;0,111811493318257;0,13;0,65
5;"beta1";-0,6;-0,635590535059563;-0,0355905350595627;0,113530119219453;0,0140913287159593;0,86;0,885
5;"beta2";0,8;0,814177358486047;0,014177358486047;0,0602586479737095;0,00381394662598324;0,87;0,895
5;"gamma1";-0,8;-1,17613151417483;-0,376131514174829;0,284522505637615;0,222023206888684;0,37;0,695
5;"gamma2";0,5;0,890455026282531;0,390455026282531;0,179699222702468;0,184585479135964;0,04;0,6
6;"beta1";-0,6;-0,614237547418189;-0,0142375474181889;0,134037644174656;0,0180789673620974;0,775;0,79
6;"beta2";0,8;0,7977835854311;-0,00221641456889966;0,0682227767544282;0,00463598802528535;0,835;0,83
6;"gamma1";-0,8;-1,07984389126916;-0,279843891269164;0,284286660581;0,158727414338043;0,535;0,67
6;"gamma2";0,5;0,857610707235852;0,357610707235851;0,181653145473348;0,160718293863785;0,065;0,6
7;"beta1";-0,6;-0,613447056081558;-0,0134470560815578;0,0737288032828484;0,0055895800686139;0,92;0,93
7;"beta2";0,8;0,813214965293074;0,0132149652930738;0,0484323934912136;0,00250860356328846;0,84;0,88
7;"gamma1";-0,8;-1,03709940262067;-0,237099402620674;0,214101348696424;0,10182631729914;0,62;0,805
7;"gamma2";0,5;0,884909638278788;0,384909638278788;0,142467093114474;0,168350817897293;0,035;0,66
8;"beta1";-0,6;-0,612889622097303;-0,0128896220973028;0,0644863919444536;0,00430384463009491;0,935;0,95
8;"beta2";0,8;0,820656670471049;0,0206566704710488;0,0413621799546475;0,00212897381589714;0,865;0,925
8;"gamma1";-0,8;-0,809684484257049;-0,00968448425704874;0,174866778064482;0,0305192873556245;0,87;0,865
8;"gamma2";0,5;0,721880248579886;0,221880248579886;0,121100154711252;0,0638227659436059;0,28;0,77
9;"beta1";-0,6;-0,64769482591465;-0,0476948259146495;0,115186985634685;0,0154764978703359;0,74;0,805
9;"beta2";0,8;0,823594621375487;0,0235946213754874;0,0710221212304871;0,00557562715341022;0,745;0,75
9;"gamma1";-0,8;-1,19389642540557;-0,393896425405567;0,230672018766514;0,208097926287893;0,275;0,785
9;"gamma2";0,5;0,959395565313202;0,459395565313203;0,156534575894758;0,235424843512736;0,005;0,685
