"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"2.5% (5)";"60% (120)";"34% (68)";"3% (6)";"0.5% (1)";"0% (0)"
2;"-";"0% (0)";"9.5% (19)";"63.5% (127)";"24.5% (49)";"2.5% (5)";"0% (0)";"0% (0)"
3;"-";"5% (10)";"30% (60)";"61% (122)";"3.5% (7)";"0.5% (1)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"29% (58)";"57% (114)";"14% (28)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"16% (32)";"70.5% (141)";"13.5% (27)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"16% (32)";"67% (134)";"16.5% (33)";"0.5% (1)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"0% (0)";"70.5% (141)";"27% (54)";"2.5% (5)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"0.5% (1)";"77.5% (155)";"21.5% (43)";"0.5% (1)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"1.5% (3)";"62% (124)";"30.5% (61)";"5% (10)";"1% (2)";"0% (0)"
