"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"25% (50)";"73.5% (147)";"1.5% (3)";"0% (0)";"0% (0)";"0% (0)"
2;"-";"2.5% (5)";"35% (70)";"60.5% (121)";"2% (4)";"0% (0)";"0% (0)";"0% (0)"
3;"-";"15% (30)";"42% (84)";"43% (86)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"80% (160)";"19.5% (39)";"0.5% (1)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"49.5% (99)";"50.5% (101)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"67.5% (135)";"32.5% (65)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"4.5% (9)";"93.5% (187)";"2% (4)";"0% (0)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"22% (44)";"74.5% (149)";"3.5% (7)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"20% (40)";"74% (148)";"6% (12)";"0% (0)";"0% (0)";"0% (0)"
