"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"0% (0)";"6.5% (13)";"54.5% (109)";"33% (66)";"5.5% (11)";"0.5% (1)"
2;"-";"0% (0)";"0% (0)";"6.5% (13)";"51.5% (103)";"37.5% (75)";"4% (8)";"0.5% (1)"
3;"-";"0.5% (1)";"9% (18)";"48.5% (97)";"39% (78)";"3% (6)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"2.5% (5)";"33% (66)";"58.5% (117)";"6% (12)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"3% (6)";"42% (84)";"43.5% (87)";"11.5% (23)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"1% (2)";"18% (36)";"66% (132)";"14.5% (29)";"0.5% (1)";"0% (0)"
7;"3";"0% (0)";"0% (0)";"30% (60)";"45% (90)";"24.5% (49)";"0.5% (1)";"0% (0)"
8;"4";"0% (0)";"37% (74)";"46% (92)";"15% (30)";"1.5% (3)";"0.5% (1)";"0% (0)"
9;"3";"0% (0)";"0% (0)";"2% (4)";"29.5% (59)";"49.5% (99)";"18.5% (37)";"0.5% (1)"
