"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"89% (178)";"11% (22)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
2;"-";"0% (0)";"83.5% (167)";"16.5% (33)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
3;"-";"59% (118)";"41% (82)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"94.5% (189)";"5.5% (11)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"92% (184)";"8% (16)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"93% (186)";"7% (14)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"64% (128)";"35.5% (71)";"0.5% (1)";"0% (0)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"44.5% (89)";"55.5% (111)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"79.5% (159)";"20.5% (41)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
