"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"21.5% (43)";"62% (124)";"16% (32)";"0.5% (1)";"0% (0)";"0% (0)"
2;"-";"0.5% (1)";"35% (70)";"58% (116)";"6.5% (13)";"0% (0)";"0% (0)";"0% (0)"
3;"-";"63.5% (127)";"35.5% (71)";"1% (2)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"57.5% (115)";"41.5% (83)";"1% (2)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"96% (192)";"4% (8)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"80.5% (161)";"18% (36)";"1% (2)";"0.5% (1)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"24.5% (49)";"72% (144)";"3.5% (7)";"0% (0)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"93.5% (187)";"6% (12)";"0.5% (1)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"1.5% (3)";"88% (176)";"10.5% (21)";"0% (0)";"0% (0)";"0% (0)"
