"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,59039443133554;0,00960556866446024;0,13967001830778;0,0195024423933929;0,735;0,715
1;"beta2";0,8;0,784533732958933;-0,0154662670410669;0,0789127303793205;0,00643528833702533;0,685;0,7
1;"gamma1";-0,8;-0,842676270361586;-0,0426762703615857;0,178979463495562;0,0336947441633687;0,705;0,71
1;"gamma2";0,5;0,666074346576924;0,166074346576924;0,109741852612586;0,0395637464347204;0,32;0,7
2;"beta1";-0,6;-0,609990431520291;-0,00999043152029071;0,135107877182657;0,0182626765063816;0,71;0,705
2;"beta2";0,8;0,765505078682429;-0,0344949213175709;0,0770985930004315;0,00710437167413835;0,555;0,675
2;"gamma1";-0,8;-0,795765346118502;0,00423465388149818;0,162096029189415;0,0261616793590769;0,805;0,8
2;"gamma2";0,5;0,632806523500691;0,132806523500691;0,0965389614398012;0,0269107449048355;0,435;0,735
3;"beta1";-0,6;-0,631954752376924;-0,0319547523769244;0,0901795695831525;0,00911279919582218;0,885;0,91
3;"beta2";0,8;0,818361421231496;0,0183614212314964;0,0488902675569206;0,00271544876011879;0,93;0,94
3;"gamma1";-0,8;-0,92572837704335;-0,12572837704335;0,141304496034575;0,0356747505905419;0,74;0,855
3;"gamma2";0,5;0,693330541126723;0,193330541126723;0,0830647290664304;0,0442419486011565;0,15;0,8
4;"beta1";-0,6;-0,609128167978044;-0,00912816797804406;0,0910757195060184;0,00833663620075664;0,92;0,925
4;"beta2";0,8;0,810860099340027;0,0108600993400268;0,0480296351069102;0,00241325337693568;0,895;0,905
4;"gamma1";-0,8;-0,874135436635317;-0,0741354366353173;0,1326693565498;0,0230092153416104;0,825;0,89
4;"gamma2";0,5;0,657622931567971;0,157622931567971;0,0863042763195203;0,0322561745265623;0,275;0,795
5;"beta1";-0,6;-0,608662500185185;-0,00866250018518489;0,0899654804248963;0,00812835763920032;0,9;0,905
5;"beta2";0,8;0,799992828932544;-7,17106745625751e-06;0,0498047034921789;0,00246810599891835;0,92;0,92
5;"gamma1";-0,8;-0,838347721587903;-0,0383477215879034;0,113987684654247;0,0143987740425552;0,92;0,915
5;"gamma2";0,5;0,628992811628839;0,128992811628839;0,0774973544436378;0,0226149561979471;0,44;0,855
6;"beta1";-0,6;-0,576896929842085;0,0231030701579154;0,107269579320644;0,0119829806851114;0,79;0,835
6;"beta2";0,8;0,778073685794807;-0,0219263142051929;0,0556758685262831;0,00356506657910002;0,795;0,855
6;"gamma1";-0,8;-0,820180765868264;-0,020180765868264;0,142202250353915;0,0205276359167187;0,85;0,85
6;"gamma2";0,5;0,623004880722682;0,123004880722682;0,0845026433354034;0,0222351939286182;0,42;0,775
7;"beta1";-0,6;-0,607749071816714;-0,00774907181671389;0,0643649924245265;0,00418218610258089;0,925;0,93
7;"beta2";0,8;0,808163036472451;0,00816303647245073;0,0397327241579621;0,0016374310866182;0,905;0,885
7;"gamma1";-0,8;-0,874589431365426;-0,0745894313654256;0,192725380673865;0,0425209402655244;0,705;0,725
7;"gamma2";0,5;0,704960847596942;0,204960847596942;0,134341484278366;0,0599663452737807;0,245;0,565
8;"beta1";-0,6;-0,606823806010787;-0,00682380601078701;0,0532107409603498;0,00286379036725456;0,97;0,975
8;"beta2";0,8;0,815113662729177;0,0151136627291773;0,0338860093825196;0,00137094312480417;0,89;0,915
8;"gamma1";-0,8;-0,632075454022417;0,167924545977583;0,131907514644935;0,0455112475994823;0,71;0,92
8;"gamma2";0,5;0,566096977149661;0,0660969771496612;0,0878349426211426;0,0120452126478559;0,695;0,845
9;"beta1";-0,6;-0,620078085116739;-0,020078085116739;0,0803820210599956;0,00683209246509614;0,88;0,89
9;"beta2";0,8;0,813623719999838;0,0136237199998377;0,0534996361892453;0,00303350576365368;0,785;0,815
9;"gamma1";-0,8;-0,946932970559766;-0,146932970559766;0,136798747912256;0,0402096257807264;0,71;0,88
9;"gamma2";0,5;0,748094317449946;0,248094317449946;0,0859463679625717;0,0689006346260826;0,045;0,805
