"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,558563365756476;0,0414366342435241;0,140957459693036;0,0214866550733298;0,73;0,745
1;"beta2";0,8;0,755821365779938;-0,0441786342200618;0,0778513733459492;0,00798228387174113;0,63;0,675
1;"gamma1";-0,8;-0,776761228142684;0,0232387718573157;0,164190363868204;0,0273637237266738;0,785;0,785
1;"gamma2";0,5;0,607612547852708;0,107612547852708;0,095816366690117;0,0207153327004179;0,545;0,735
2;"beta1";-0,6;-0,594126366088835;0,00587363391116527;0,137525325328674;0,0188531486065463;0,71;0,71
2;"beta2";0,8;0,750731774740249;-0,0492682252597513;0,0764617835864157;0,00824453034771538;0,555;0,67
2;"gamma1";-0,8;-0,766335052900278;0,0336649470997223;0,152434299755665;0,024253363326517;0,82;0,83
2;"gamma2";0,5;0,609889669440431;0,109889669440431;0,0946605526442961;0,0209915565755161;0,51;0,775
3;"beta1";-0,6;-0,629718001304928;-0,0297180013049278;0,0891384010949169;0,00878908587856918;0,9;0,91
3;"beta2";0,8;0,815439403654802;0,015439403654802;0,049130132923663;0,00264007629650723;0,935;0,955
3;"gamma1";-0,8;-0,947303016958116;-0,147303016958116;0,128320377780376;0,0380819675618928;0,67;0,87
3;"gamma2";0,5;0,70514342757176;0,20514342757176;0,0723341590037292;0,0472898952818727;0,105;0,875
