"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"0% (0)";"29.5% (59)";"61.5% (123)";"9% (18)";"0% (0)";"0% (0)"
2;"-";"0% (0)";"1% (2)";"29.5% (59)";"59.5% (119)";"10% (20)";"0% (0)";"0% (0)"
3;"-";"3% (6)";"65% (130)";"31.5% (63)";"0.5% (1)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"15% (30)";"67.5% (135)";"17.5% (35)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"8.5% (17)";"74.5% (149)";"16.5% (33)";"0.5% (1)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"2.5% (5)";"53.5% (107)";"42% (84)";"2% (4)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"0% (0)";"60.5% (121)";"35% (70)";"4.5% (9)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"7.5% (15)";"83.5% (167)";"9% (18)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"0% (0)";"27.5% (55)";"64.5% (129)";"8% (16)";"0% (0)";"0% (0)"
