"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"3.5% (7)";"67.5% (135)";"29% (58)";"0% (0)";"0% (0)";"0% (0)"
2;"-";"0% (0)";"10% (20)";"59% (118)";"29.5% (59)";"1.5% (3)";"0% (0)";"0% (0)"
3;"-";"3.5% (7)";"36.5% (73)";"59.5% (119)";"0.5% (1)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"45% (90)";"53.5% (107)";"1.5% (3)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"23.5% (47)";"66% (132)";"10.5% (21)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"29.5% (59)";"68% (136)";"2.5% (5)";"0% (0)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"7.5% (15)";"74% (148)";"16% (32)";"2.5% (5)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"57% (114)";"36.5% (73)";"6.5% (13)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"3% (6)";"59% (118)";"34.5% (69)";"3% (6)";"0.5% (1)";"0% (0)"
