"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,6188564947337;-0,0188564947337003;0,149832606462619;0,0226931283032273;0,81;0,805
1;"beta2";0,8;0,802939664542313;0,00293966454231294;0,0851223379917403;0,00721822499067551;0,745;0,74
1;"gamma1";-0,8;-1,05452087893308;-0,254520878933079;0,245756757499072;0,124875279750042;0,525;0,77
1;"gamma2";0,5;0,828067597839146;0,328067597839146;0,149181233162857;0,129772113878299;0,07;0,67
2;"beta1";-0,6;-0,645065606688954;-0,0450656066889544;0,153675177626325;0,0255288888236337;0,71;0,71
2;"beta2";0,8;0,796264235931843;-0,0037357640681573;0,0813398818998934;0,00659705143872409;0,735;0,72
2;"gamma1";-0,8;-1,04173364937541;-0,241733649375411;0,266223207691582;0,128955579572382;0,555;0,7
2;"gamma2";0,5;0,812585125956587;0,312585125956587;0,152766491970772;0,120930374033006;0,115;0,64
3;"beta1";-0,6;-0,649640371737624;-0,0496403717376242;0,112032993258937;0,0149528011269137;0,905;0,905
3;"beta2";0,8;0,83037338534371;0,0303733853437099;0,0550195408733354;0,00393455666576055;0,91;0,925
3;"gamma1";-0,8;-1,16316730827664;-0,363167308276643;0,276535704241373;0,207980129542573;0,39;0,63
3;"gamma2";0,5;0,895786719823939;0,395786719823939;0,176600793669609;0,187679028712105;0,06;0,56
4;"beta1";-0,6;-0,602376920791758;-0,00237692079175811;0,0974678043504298;0,0094581227729195;0,91;0,92
4;"beta2";0,8;0,802451248775276;0,00245124877527593;0,0545889521728528;0,00297106255139165;0,905;0,9
4;"gamma1";-0,8;-0,932495920800164;-0,132495920800164;0,184551883716355;0,0514442698230223;0,76;0,87
4;"gamma2";0,5;0,729518443566362;0,229518443566362;0,111333810369415;0,0650119571818413;0,19;0,8
5;"beta1";-0,6;-0,619133093661882;-0,0191330936618819;0,10999897507793;0,0124053509186784;0,895;0,895
5;"beta2";0,8;0,805377381420344;0,0053773814203441;0,0567680624326388;0,00323541607873406;0,9;0,925
5;"gamma1";-0,8;-1,06038347036396;-0,260383470363962;0,233873162722634;0,122222724599459;0,6;0,765
5;"gamma2";0,5;0,806431667671047;0,306431667671047;0,149641172736839;0,116180885126825;0,11;0,715
6;"beta1";-0,6;-0,588518322563866;0,0114816774361335;0,129285124239257;0,0167628990495597;0,805;0,805
6;"beta2";0,8;0,780583248606156;-0,0194167513938437;0,0648889357619489;0,00456653134908707;0,825;0,835
6;"gamma1";-0,8;-0,951928552170145;-0,151928552170145;0,225745976432516;0,0737887246106092;0,685;0,795
6;"gamma2";0,5;0,753662207316636;0,253662207316636;0,151586699982341;0,0872081503942266;0,245;0,67
7;"beta1";-0,6;-0,609760130867647;-0,00976013086764732;0,0722291585279464;0,00528622623950055;0,94;0,935
7;"beta2";0,8;0,807571975929089;0,00757197592908905;0,0462154456034529;0,00218252289473479;0,885;0,9
7;"gamma1";-0,8;-0,994984147566155;-0,194984147566155;0,199375820993667;0,0775707822090145;0,685;0,84
7;"gamma2";0,5;0,846532143839851;0,346532143839851;0,138981387230631;0,139303773580811;0,07;0,69
8;"beta1";-0,6;-0,609747114333484;-0,00974711433348437;0,0649646447059459;0,00429430927429095;0,94;0,945
8;"beta2";0,8;0,818775029777902;0,0187750297779022;0,0409700453904479;0,00202265363936;0,875;0,94
8;"gamma1";-0,8;-0,750731476733344;0,0492685232666558;0,161773468871319;0,0284671893393833;0,865;0,875
8;"gamma2";0,5;0,678551250394033;0,178551250394033;0,116791884566567;0,0454526915963799;0,405;0,74
9;"beta1";-0,6;-0,615166254479488;-0,0151662544794884;0,137635748116957;0,0190788964388524;0,725;0,74
9;"beta2";0,8;0,788327529529993;-0,0116724704700067;0,109923639949278;0,0121590371534731;0,655;0,635
9;"gamma1";-0,8;-1,120540032851;-0,320540032850998;0,2203667077528;0,151064591116497;0,405;0,77
9;"gamma2";0,5;0,888724740975692;0,388724740975692;0,161345111731403;0,17700900810084;0,065;0,635
