"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,567662966637591;0,032337033362409;0,146904457534428;0,0225186987719487;0,76;0,76
1;"beta2";0,8;0,766104091800353;-0,0338959081996472;0,0727810167666982;0,00641952361226535;0,765;0,79
1;"gamma1";-0,8;-0,888738151887866;-0,0887381518878659;0,188529121529818;0,0432399731169549;0,795;0,83
1;"gamma2";0,5;0,682457703510367;0,182457703510367;0,104784521594137;0,0442157105561607;0,335;0,825
2;"beta1";-0,6;-0,601826263708008;-0,00182626370800844;0,145236154467055;0,0209914081006877;0,76;0,76
2;"beta2";0,8;0,773897311441073;-0,0261026885589267;0,0738249689325217;0,00610422575770268;0,735;0,75
2;"gamma1";-0,8;-0,891851409808165;-0,0918514098081651;0,188744868621095;0,0438831837873879;0,8;0,81
2;"gamma2";0,5;0,700318541669365;0,200318541669365;0,0968261614970174;0,0494559471590364;0,26;0,885
3;"beta1";-0,6;-0,655864104120841;-0,0558641041208409;0,108848040676933;0,0149094546086353;0,9;0,92
3;"beta2";0,8;0,839732239748373;0,0397322397483729;0,0543353233256495;0,00451621659952053;0,875;0,94
3;"gamma1";-0,8;-1,01648507635836;-0,216485076358356;0,16389771169322;0,0735939358846656;0,645;0,92
3;"gamma2";0,5;0,780702364761432;0,280702364761432;0,0866063182965832;0,0862569686797046;0,04;0,92
4;"beta1";-0,6;-0,598182806938926;0,0018171930610735;0,0967681991683006;0,00932056613904573;0,915;0,915
4;"beta2";0,8;0,800781760561206;0,000781760561205869;0,0544956041358431;0,00295553316535492;0,905;0,9
4;"gamma1";-0,8;-0,899165126755964;-0,0991651267559636;0,1593388515559;0,0350956476316036;0,845;0,91
4;"gamma2";0,5;0,702824407879517;0,202824407879518;0,0984990419530753;0,0507912913910222;0,26;0,84
5;"beta1";-0,6;-0,592616379808872;0,00738362019112812;0,105896180171089;0,0112124488170805;0,92;0,925
5;"beta2";0,8;0,786727401784753;-0,013272598215247;0,0597103821173322;0,00372366494731822;0,895;0,895
5;"gamma1";-0,8;-0,916807589253346;-0,116807589253346;0,157812666616187;0,0384243264629675;0,855;0,895
5;"gamma2";0,5;0,688538603260161;0,188538603260161;0,104793094316261;0,0464734895725874;0,31;0,835
6;"beta1";-0,6;-0,57470699847471;0,0252930015252902;0,124180180135793;0,0159833494790236;0,83;0,81
6;"beta2";0,8;0,768643255050967;-0,0313567449490334;0,0589886490876709;0,00444550787138117;0,825;0,88
6;"gamma1";-0,8;-0,882111654695758;-0,0821116546957577;0,182058641384938;0,0397219459952901;0,81;0,88
6;"gamma2";0,5;0,689085706491894;0,189085706491893;0,107715715260224;0,04729806633699;0,38;0,785
7;"beta1";-0,6;-0,596323750245204;0,00367624975479628;0,0734038274823356;0,00537469609187085;0,935;0,935
7;"beta2";0,8;0,798830549605926;-0,00116945039407376;0,0440722591943115;0,00193401982456232;0,915;0,915
7;"gamma1";-0,8;-0,755115168549961;0,044884831450039;0,145250222121806;0,0230067869856003;0,91;0,935
7;"gamma2";0,5;0,617516393755951;0,117516393755951;0,0897418990762425;0,0218234432089652;0,63;0,895
8;"beta1";-0,6;-0,610272202241023;-0,0102722022410228;0,06466686547995;0,00426641261242741;0,95;0,95
8;"beta2";0,8;0,82124419815096;0,0212441981509595;0,0408091456768172;0,00210837539409456;0,88;0,95
8;"gamma1";-0,8;-0,666388354745584;0,133611645254416;0,171407692869178;0,0470857659364527;0,75;0,865
8;"gamma2";0,5;0,619652655034836;0,119652655034836;0,119556039990057;0,0285389363214991;0,625;0,74
9;"beta1";-0,6;-0,54118689733806;0,0588131026619399;0,176853280659736;0,0345796785104346;0,595;0,585
9;"beta2";0,8;0,696348046330479;-0,103651953669521;0,123779668544387;0,0259885268127419;0,37;0,38
9;"gamma1";-0,8;-0,953272442145682;-0,153272442145682;0,183823103048235;0,0571144200695119;0,75;0,85
9;"gamma2";0,5;0,699544849488024;0,199544849488024;0,102908267649216;0,0503553079500081;0,26;0,835
