"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"9.5% (19)";"90.5% (181)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
2;"-";"26.5% (53)";"73.5% (147)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
3;"-";"100% (200)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"98.5% (197)";"1.5% (3)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"32.5% (65)";"67.5% (135)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"100% (200)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"100% (200)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"66.5% (133)";"33.5% (67)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"0.5% (1)";"98.5% (197)";"1% (2)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
