"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
4;"beta1";-0,6;-0,622345;-0,022345;0,144009303074;0,021134285;0,97;0,975
4;"beta2";0,8;0,78222;-0,0177800000000001;0,0750161228901317;0,00591541;0,965;0,96
4;"gamma1";-0,8;-0,790025;0,00997500000000006;0,146300387531817;0,021396285;0,955;0,95
4;"gamma2";0,5;0,55365;0,05365;0,0855660284583237;0,01016326;0,865;0,92
4;"theta_u";NA;1,24933488724089;NA;0,0733432730474188;NA;NA;0,035
4;"theta_v";NA;0,98443084091527;NA;0,112825384073399;NA;NA;0,705
4;"rho";NA;0,962665;NA;0,0124195005928127;NA;NA;0,68
5;"beta1";-0,6;-0,59122;0,00877999999999998;0,113310360466044;0,01285213;0,975;0,97
5;"beta2";0,8;0,776575;-0,023425;0,0566999895863789;0,003747545;0,95;0,96
5;"gamma1";-0,8;-0,779085;0,0209150000000001;0,124602272880695;0,015885535;0,925;0,94
5;"gamma2";0,5;0,56707;0,06707;0,0758615844812116;0,01022459;0,81;0,9
5;"theta_u";NA;0,763955553912897;NA;0,0855482563613762;NA;NA;0,115
5;"theta_v";NA;0,678847575559347;NA;0,103170684342669;NA;NA;0,07
5;"rho";NA;0,89135;NA;0,0425529230051404;NA;NA;0,425
6;"beta1";-0,6;-0,582265;0,017735;0,13200747951628;0,017653375;0,965;0,97
6;"beta2";0,8;0,77316;-0,02684;0,06792749903852;0,00531146;0,965;0,98
6;"gamma1";-0,8;-0,743805;0,056195;0,135822737622522;0,021513455;0,93;0,955
6;"gamma2";0,5;0,549365;0,049365;0,0799665870864279;0,008799585;0,865;0,905
6;"theta_u";NA;1,13006963150586;NA;0,0722059307145478;NA;NA;0,525
6;"theta_v";NA;0,906521958751524;NA;0,102741018516114;NA;NA;0,56
6;"rho";NA;0,952665;NA;0,0149068388406498;NA;NA;0,67
7;"beta1";-0,6;-0,58376;0,01624;0,167199523934789;0,02807964;0,97;0,96
7;"beta2";0,8;0,72458;-0,0754200000000001;0,0902499800247754;0,01379251;0,87;0,935
7;"gamma1";-0,8;-0,7414;0,0586;0,149129096547877;0,02556225;0,91;0,955
7;"gamma2";0,5;0,548875;0,048875;0,0856191718480137;0,009682755;0,87;0,91
7;"theta_u";NA;1,57906664209921;NA;0,0640237064253953;NA;NA;0
7;"theta_v";NA;0,935874029681632;NA;0,13339328849135;NA;NA;0,535
7;"rho";NA;0,95337;NA;0,0239967145992486;NA;NA;0,64
8;"beta1";-0,6;-0,577735;0,022265;0,158952616987693;0,025635335;0,95;0,945
8;"beta2";0,8;0,675825;-0,124175;0,0785744493806822;0,021562505;0,63;0,98
8;"gamma1";-0,8;-0,537255;0,262745;0,13090792335449;0,086086135;0,515;0,965
8;"gamma2";0,5;0,417595;-0,082405;0,0802682748959629;0,013201365;0,76;0,895
8;"theta_u";NA;1,38536493906767;NA;0,0838099405362918;NA;NA;0
8;"theta_v";NA;0,686675892029802;NA;0,098052489814741;NA;NA;0
8;"rho";NA;0,89328;NA;0,0325175113241092;NA;NA;0,645
9;"beta1";-0,6;-0,612625;-0,012625;0,127140425569802;0,016243255;0,95;0,955
9;"beta2";0,8;0,753355;-0,0466450000000001;0,0687646848638319;0,006880695;0,885;0,95
9;"gamma1";-0,8;-0,893875;-0,093875;0,122020961108118;0,023627185;0,89;0,945
9;"gamma2";0,5;0,65409;0,15409;0,0724118032245514;0,02896098;0,405;0,915
9;"theta_u";NA;1,01354225101478;NA;0,0599589927529617;NA;NA;0,955
9;"theta_v";NA;0,494364835281599;NA;0,0357041111746494;NA;NA;0
9;"rho";NA;0,786495;NA;0,0351294801681497;NA;NA;0,885
