"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"11% (22)";"57.5% (115)";"29.5% (59)";"2% (4)";"0% (0)";"0% (0)"
2;"-";"0.5% (1)";"28% (56)";"47.5% (95)";"22.5% (45)";"1.5% (3)";"0% (0)";"0% (0)"
3;"-";"22.5% (45)";"43.5% (87)";"32% (64)";"1.5% (3)";"0.5% (1)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"61.5% (123)";"34.5% (69)";"4% (8)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"53% (106)";"40% (80)";"7% (14)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"60% (120)";"35% (70)";"5% (10)";"0% (0)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"1% (2)";"78.5% (157)";"18.5% (37)";"2% (4)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"4% (8)";"76% (152)";"19.5% (39)";"0.5% (1)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"0.5% (1)";"48.5% (97)";"37% (74)";"12.5% (25)";"1% (2)";"0.5% (1)"
