"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"15% (30)";"65.5% (131)";"19.5% (39)";"0% (0)";"0% (0)";"0% (0)"
2;"-";"0.5% (1)";"40% (80)";"48.5% (97)";"10% (20)";"1% (2)";"0% (0)";"0% (0)"
3;"-";"37.5% (75)";"44% (88)";"18.5% (37)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"60% (120)";"37% (74)";"3% (6)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"83% (166)";"16.5% (33)";"0.5% (1)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"72.5% (145)";"26.5% (53)";"1% (2)";"0% (0)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"1% (2)";"91.5% (183)";"7.5% (15)";"0% (0)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"7% (14)";"85.5% (171)";"7.5% (15)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"8% (16)";"72.5% (145)";"17.5% (35)";"2% (4)";"0% (0)";"0% (0)"
