"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"23.5% (47)";"47% (94)";"28.5% (57)";"1% (2)";"0% (0)";"0% (0)";"0% (0)"
2;"-";"64% (128)";"26.5% (53)";"9% (18)";"0.5% (1)";"0% (0)";"0% (0)";"0% (0)"
3;"-";"33.5% (67)";"62% (124)";"4.5% (9)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"96% (192)";"4% (8)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"1% (2)";"76% (152)";"23% (46)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"91.5% (183)";"8.5% (17)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"23% (46)";"74% (148)";"3% (6)";"0% (0)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"5.5% (11)";"88.5% (177)";"6% (12)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"8% (16)";"41.5% (83)";"45% (90)";"5% (10)";"0.5% (1)";"0% (0)";"0% (0)"
