"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"56.5% (113)";"43.5% (87)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
2;"-";"88.5% (177)";"11.5% (23)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
3;"-";"100% (200)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"100% (200)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"34% (68)";"66% (132)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"100% (200)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"100% (200)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"95% (190)";"5% (10)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"26% (52)";"73% (146)";"1% (2)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
