"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"66% (132)";"34% (68)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
2;"-";"1% (2)";"70% (140)";"28.5% (57)";"0.5% (1)";"0% (0)";"0% (0)";"0% (0)"
3;"-";"93% (186)";"7% (14)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"100% (200)";"0% (0)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
5;"2";"0.5% (1)";"93% (186)";"6.5% (13)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"98.5% (197)";"1.5% (3)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"36.5% (73)";"63.5% (127)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"35% (70)";"65% (130)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"53% (106)";"47% (94)";"0% (0)";"0% (0)";"0% (0)";"0% (0)"
