"scenario";"true K";"collapse";"2";"3";"4";"5";"6";"7"
1;"-";"0% (0)";"0% (0)";"9% (18)";"46.5% (93)";"37% (74)";"7% (14)";"0.5% (1)"
2;"-";"0% (0)";"0% (0)";"11.1% (22)";"47.7% (95)";"33.2% (66)";"8% (16)";"0% (0)"
3;"-";"5% (10)";"30.5% (61)";"47.5% (95)";"16.5% (33)";"0.5% (1)";"0% (0)";"0% (0)"
4;"2";"0% (0)";"10% (20)";"69% (138)";"19.5% (39)";"1.5% (3)";"0% (0)";"0% (0)"
5;"2";"0% (0)";"10.5% (21)";"54.5% (109)";"30% (60)";"5% (10)";"0% (0)";"0% (0)"
6;"3";"0% (0)";"3.5% (7)";"37% (74)";"48% (96)";"11.5% (23)";"0% (0)";"0% (0)"
7;"3";"0% (0)";"0% (0)";"60.5% (121)";"33% (66)";"6.5% (13)";"0% (0)";"0% (0)"
8;"4";"0% (0)";"8.5% (17)";"57.5% (115)";"27% (54)";"7% (14)";"0% (0)";"0% (0)"
9;"3";"0% (0)";"0% (0)";"6% (12)";"26.5% (53)";"37.5% (75)";"24% (48)";"5% (10)"
