"scenario";"coef";"true";"avg";"bias";"empSE";"MSE";"coverage";"bias.elim.coverage"
1;"beta1";-0,6;-0,628533608887409;-0,0285336088874093;0,138012723772505;0,0197664411996298;0,74;0,76
1;"beta2";0,8;0,803741089571098;0,00374108957109777;0,0739867077308196;0,00546065850742047;0,72;0,715
1;"gamma1";-0,8;-1,00709617303205;-0,207096173032046;0,226299527279374;0,0938442435511529;0,475;0,63
1;"gamma2";0,5;0,79548799185017;0,29548799185017;0,146473320322642;0,108660314726154;0,085;0,61
2;"beta1";-0,6;-0,655570498518563;-0,055570498518563;0,137689145989548;0,021951113385097;0,613065326633166;0,678391959798995
2;"beta2";0,8;0,799863009525004;-0,000136990474996267;0,073062656226756;0,00531134561820938;0,71356783919598;0,71356783919598
2;"gamma1";-0,8;-0,949059115897879;-0,149059115897878;0,198750548214779;0,0615218990388082;0,597989949748744;0,728643216080402
2;"gamma2";0,5;0,760647861616064;0,260647861616064;0,134655789049875;0,0859783727995979;0,105527638190955;0,64321608040201
3;"beta1";-0,6;-0,640051630339739;-0,0400516303397387;0,0910723383679487;0,00985683305459819;0,875;0,9
3;"beta2";0,8;0,822227684691392;0,0222276846913919;0,0499423099585314;0,002975833119114;0,895;0,945
3;"gamma1";-0,8;-1,07077218305047;-0,270772183050466;0,199832022754711;0,113050748245563;0,44;0,72
3;"gamma2";0,5;0,809990119131469;0,309990119131469;0,135734949071907;0,114425730476698;0,06;0,575
4;"beta1";-0,6;-0,618953185057231;-0,0189531850572307;0,0927747180575209;0,00892333579291286;0,9;0,91
4;"beta2";0,8;0,816827828915247;0,0168278289152474;0,0487443688014297;0,00264730924840138;0,865;0,9
4;"gamma1";-0,8;-0,937079213677664;-0,137079213677664;0,149204336223404;0,040941335100614;0,705;0,85
4;"gamma2";0,5;0,710896728455637;0,210896728455637;0,098135654070369;0,0540598836401109;0,13;0,715
5;"beta1";-0,6;-0,631737155190657;-0,0317371551906569;0,0993206106967975;0,0108225078102347;0,855;0,85
5;"beta2";0,8;0,813484908278618;0,0134849082786183;0,0527036077605647;0,00294562467090731;0,885;0,91
5;"gamma1";-0,8;-0,984152068179155;-0,184152068179154;0,176338311071394;0,0648517081664143;0,535;0,76
5;"gamma2";0,5;0,746436418868962;0,246436418868962;0,127181475924307;0,0768251607241523;0,13;0,63
6;"beta1";-0,6;-0,617089962802439;-0,0170899628024391;0,110288502688431;0,0123948028847186;0,82;0,82
6;"beta2";0,8;0,80653188546859;0,00653188546858946;0,0574002045206408;0,00332097508939111;0,855;0,865
6;"gamma1";-0,8;-0,974046844775327;-0,174046844775327;0,190077841217372;0,0662412419694937;0,59;0,715
6;"gamma2";0,5;0,750732369544768;0,250732369544768;0,111910093455181;0,0753279708095956;0,08;0,695
7;"beta1";-0,6;-0,61348252271624;-0,0134825227162406;0,0652676131711182;0,0044203404412034;0,925;0,93
7;"beta2";0,8;0,812521548307174;0,0125215483071738;0,0392268590373903;0,00168784190959848;0,905;0,89
7;"gamma1";-0,8;-0,958365178557198;-0,158365178557198;0,174947571802637;0,0555331493946936;0,63;0,8
7;"gamma2";0,5;0,78312849899368;0,28312849899368;0,106254817120782;0,0913953826729781;0,04;0,75
8;"beta1";-0,6;-0,609541071420953;-0,00954107142095307;0,053161164196219;0,00290301087566361;0,96;0,97
8;"beta2";0,8;0,817046694601089;0,0170466946010885;0,0341155426967497;0,00144864069904906;0,9;0,92
8;"gamma1";-0,8;-0,760267114714653;0,0397328852853472;0,164779866732615;0,0285953446311148;0,81;0,83
8;"gamma2";0,5;0,638611961107737;0,138611961107737;0,0993621069922116;0,029036739926535;0,44;0,79
9;"beta1";-0,6;-0,637245150298014;-0,0372451502980137;0,0796516632193356;0,00769986673706006;0,84;0,875
9;"beta2";0,8;0,822651866600456;0,0226518666004558;0,0499870955944832;0,00299932323782698;0,785;0,79
9;"gamma1";-0,8;-1,10448968552002;-0,304489685520016;0,180583540605135;0,125161331649877;0,25;0,765
9;"gamma2";0,5;0,873736376659454;0,373736376659454;0,132409764017076;0,15712356311756;0,005;0,605
